=== Magic Number Search Results for Range 42-44 ===
Started at: Tue Jun 03 21:02:34 EDT 2025

=== Magic Number Search Results for Range 42-44 ===
Started at: Tue Jun 03 21:02:34 EDT 2025

=== Magic Number Search Results for Range 42-44 ===
Started at: Tue Jun 03 21:02:34 EDT 2025

PROGRESS: [44][Rook] 712 / 1024, Attempt 420000000
PROGRESS: [44][Rook] 712 / 1024, Attempt 430000000
PROGRESS: [44][Rook] 712 / 1024, Attempt 440000000
PROGRESS: [44][Rook] 712 / 1024, Attempt 450000000
PROGRESS: [44][Rook] 712 / 1024, Attempt 460000000
PROGRESS: [44][Rook] 712 / 1024, Attempt 470000000
PROGRESS: [44][Rook] 712 / 1024, Attempt 480000000
PROGRESS: [44][Rook] 769 / 1024, Attempt 490000000

=== FINAL SUMMARY ===
Completed at: Tue Jun 03 23:10:18 EDT 2025

Rook Magics:
rook_magics[42] = 0xa293016000f10043L;

Bishop Magics:
