=== Magic Number Search Results for [[21, 25, 26, 28, 29, 33, 34, 35, 37, 42, 43, 44, 1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13, 17, 18, 19]] ===
Started at: Mon Jun 09 23:09:26 EDT 2025

=== Magic Number Search Results for [[21, 25, 26, 28, 29, 33, 34, 35, 37, 42, 43, 44, 1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13, 17, 18, 19]] ===
Started at: Mon Jun 09 23:09:26 EDT 2025

=== Magic Number Search Results for [[21, 25, 26, 28, 29, 33, 34, 35, 37, 42, 43, 44, 1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13, 17, 18, 19]] ===
Started at: Mon Jun 09 23:09:26 EDT 2025

PROGRESS: [26][Rook] 830 / 1024, Attempt 130000000
PROGRESS: [26][Rook] 1003 / 1024, Attempt 250000000
PROGRESS: [26][Rook] 770 / 1024, Attempt 130000000
PROGRESS: [26][Rook] 830 / 1024, Attempt 140000000
PROGRESS: [26][Rook] 1003 / 1024, Attempt 260000000
PROGRESS: [26][Rook] 770 / 1024, Attempt 140000000
PROGRESS: [26][Rook] 830 / 1024, Attempt 150000000
PROGRESS: [26][Rook] 1003 / 1024, Attempt 270000000
PROGRESS: [26][Rook] 770 / 1024, Attempt 150000000
PROGRESS: [26][Rook] 1003 / 1024, Attempt 280000000
PROGRESS: [26][Rook] 830 / 1024, Attempt 160000000
PROGRESS: [26][Rook] 770 / 1024, Attempt 160000000
PROGRESS: [26][Rook] 1003 / 1024, Attempt 290000000
PROGRESS: [26][Rook] 830 / 1024, Attempt 170000000
PROGRESS: [26][Rook] 770 / 1024, Attempt 170000000
PROGRESS: [26][Rook] 1003 / 1024, Attempt 300000000
PROGRESS: [26][Rook] 830 / 1024, Attempt 180000000
PROGRESS: [26][Rook] 770 / 1024, Attempt 180000000
PROGRESS: [26][Rook] 1003 / 1024, Attempt 310000000
PROGRESS: [26][Rook] 830 / 1024, Attempt 190000000
PROGRESS: [26][Rook] 770 / 1024, Attempt 190000000
PROGRESS: [26][Rook] 1003 / 1024, Attempt 320000000
PROGRESS: [26][Rook] 830 / 1024, Attempt 200000000
PROGRESS: [26][Rook] 770 / 1024, Attempt 200000000
PROGRESS: [26][Rook] 1003 / 1024, Attempt 330000000
PROGRESS: [26][Rook] 830 / 1024, Attempt 210000000
PROGRESS: [26][Rook] 770 / 1024, Attempt 210000000
PROGRESS: [26][Rook] 1003 / 1024, Attempt 340000000
PROGRESS: [26][Rook] 830 / 1024, Attempt 220000000
PROGRESS: [26][Rook] 770 / 1024, Attempt 220000000
PROGRESS: [26][Rook] 1003 / 1024, Attempt 350000000
PROGRESS: [26][Rook] 830 / 1024, Attempt 230000000
PROGRESS: [26][Rook] 1003 / 1024, Attempt 360000000
PROGRESS: [26][Rook] 770 / 1024, Attempt 230000000
PROGRESS: [26][Rook] 830 / 1024, Attempt 240000000
PROGRESS: [26][Rook] 1003 / 1024, Attempt 370000000
PROGRESS: [26][Rook] 770 / 1024, Attempt 240000000
PROGRESS: [26][Rook] 830 / 1024, Attempt 250000000
PROGRESS: [26][Rook] 1003 / 1024, Attempt 380000000
PROGRESS: [26][Rook] 770 / 1024, Attempt 250000000
[26][Rook] - a0042002183d4 - Took 254910852 attempts, 52.34 minutes
